title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Sicario,Sicario,2015-01-01,121.0,"Action,Crime,Drama",7.6,328548,LGF,46900000.0,2015-01-01,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Night Before,The Night Before,2015-01-01,101.0,"Adventure,Comedy,Fantasy",6.4,58455,Sony,43000000.0,2015-01-01,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Night Before,The Night Before,2017-01-01,81.0,Horror,4.7,150,Sony,43000000.0,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Last Cab to Darwin,Last Cab to Darwin,2015-01-01,123.0,"Comedy,Drama,Romance",7.2,3112,FRun,34200.0,2016-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
No Tears for the Dead,U-neun nam-ja,2014-01-01,116.0,"Action,Thriller",6.8,4953,CJ,63100.0,2014-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Little Italy,Little Italy,2018-01-01,102.0,"Comedy,Romance",5.7,6033,EOne,990000.0,2018-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Simple Favor,A Simple Favor,2018-01-01,117.0,"Comedy,Crime,Drama",6.9,83338,LGF,53500000.0,2018-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nico, 1988","Nico, 1988",2017-01-01,93.0,"Biography,Drama,Music",6.8,1007,Magn.,73300.0,2018-01-01,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hereditary,Hereditary,2018-01-01,127.0,"Drama,Horror,Mystery",7.3,151571,A24,44100000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Capernaum,Capharnaüm,2018-01-01,126.0,Drama,8.5,20215,SPC,1700000.0,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
